Id,CodeArticle,CodeBarre,Libelle,CodeDim1,LibelleDim1,CodeDim2,LibelleDim2,Fournisseur,FamilleNiv1,FamilleNiv2,FamilleNiv3,FamilleNiv4,FamilleNiv5,FamilleNiv6,FamilleNiv7,FamilleNiv8,Quantite_Achat,DateLibre,Prix_Vente_TND,Prix_Achat_TND,IdCategorie
185,ART000185,1234560000185,Zara Pantalon,DIM1-185,Dimension 1 Article 185,DIM2-185,Dimension 2 Article 185,Monoprix,Famille1-185,Famille2-185,Famille3-185,Famille4-185,Famille5-185,Famille6-185,Famille7-185,Famille8-185,57,2024-09-17,114.93,86.67,CAT002
186,ART000186,1234560000186,Corsair Clavier,DIM1-186,Dimension 1 Article 186,DIM2-186,Dimension 2 Article 186,LG Electronics,Famille1-186,Famille2-186,Famille3-186,Famille4-186,Famille5-186,Famille6-186,Famille7-186,Famille8-186,82,2024-10-12,36.64,24.09,CAT008
187,ART000187,1234560000187,Mobil Huile moteur,DIM1-187,Dimension 1 Article 187,DIM2-187,Dimension 2 Article 187,LG Electronics,Famille1-187,Famille2-187,Famille3-187,Famille4-187,Famille5-187,Famille6-187,Famille7-187,Famille8-187,92,2024-10-11,75.65,51.54,CAT007
188,ART000188,1234560000188,IKEA Oreiller,DIM1-188,Dimension 1 Article 188,DIM2-188,Dimension 2 Article 188,Decathlon Tunisia,Famille1-188,Famille2-188,Famille3-188,Famille4-188,Famille5-188,Famille6-188,Famille7-188,Famille8-188,3,2026-04-08,51.33,34.18,CAT005
189,ART000189,1234560000189,Castrol Huile moteur,DIM1-189,Dimension 1 Article 189,DIM2-189,Dimension 2 Article 189,Danone Tunisia,Famille1-189,Famille2-189,Famille3-189,Famille4-189,Famille5-189,Famille6-189,Famille7-189,Famille8-189,47,2024-11-12,66.44,52.0,CAT007
190,ART000190,1234560000190,Samsung Écouteurs,DIM1-190,Dimension 1 Article 190,DIM2-190,Dimension 2 Article 190,Samsung Tunisia,Famille1-190,Famille2-190,Famille3-190,Famille4-190,Famille5-190,Famille6-190,Famille7-190,Famille8-190,6,2026-04-22,116.6,72.96,CAT009
191,ART000191,1234560000191,Zituna Huile d'olive,DIM1-191,Dimension 1 Article 191,DIM2-191,Dimension 2 Article 191,Carrefour Tunisie,Famille1-191,Famille2-191,Famille3-191,Famille4-191,Famille5-191,Famille6-191,Famille7-191,Famille8-191,58,2024-10-26,29.52,20.38,CAT003
192,ART000192,1234560000192,Continental Pneu,DIM1-192,Dimension 1 Article 192,DIM2-192,Dimension 2 Article 192,Géant Tunisia,Famille1-192,Famille2-192,Famille3-192,Famille4-192,Famille5-192,Famille6-192,Famille7-192,Famille8-192,4,2024-06-30,387.26,236.98,CAT007
193,ART000193,1234560000193,Samsung Smartphone,DIM1-193,Dimension 1 Article 193,DIM2-193,Dimension 2 Article 193,Géant Tunisia,Famille1-193,Famille2-193,Famille3-193,Famille4-193,Famille5-193,Famille6-193,Famille7-193,Famille8-193,31,2026-03-09,1654.66,1144.5,CAT009
194,ART000194,1234560000194,Mobilia Tapis,DIM1-194,Dimension 1 Article 194,DIM2-194,Dimension 2 Article 194,LG Electronics,Famille1-194,Famille2-194,Famille3-194,Famille4-194,Famille5-194,Famille6-194,Famille7-194,Famille8-194,71,2024-09-30,85.19,53.47,CAT005
195,ART000195,1234560000195,Supradyn Vitamines,DIM1-195,Dimension 1 Article 195,DIM2-195,Dimension 2 Article 195,Carrefour Tunisie,Famille1-195,Famille2-195,Famille3-195,Famille4-195,Famille5-195,Famille6-195,Famille7-195,Famille8-195,51,2025-03-10,49.3,31.49,CAT010
196,ART000196,1234560000196,Samsung Smartphone,DIM1-196,Dimension 1 Article 196,DIM2-196,Dimension 2 Article 196,Danone Tunisia,Famille1-196,Famille2-196,Famille3-196,Famille4-196,Famille5-196,Famille6-196,Famille7-196,Famille8-196,23,2026-02-24,1307.47,857.7,CAT009
197,ART000197,1234560000197,Olio Huile d'olive,DIM1-197,Dimension 1 Article 197,DIM2-197,Dimension 2 Article 197,Decathlon Tunisia,Famille1-197,Famille2-197,Famille3-197,Famille4-197,Famille5-197,Famille6-197,Famille7-197,Famille8-197,35,2025-10-30,33.97,20.94,CAT003
198,ART000198,1234560000198,Dell Ordinateur portable,DIM1-198,Dimension 1 Article 198,DIM2-198,Dimension 2 Article 198,Nike Middle East,Famille1-198,Famille2-198,Famille3-198,Famille4-198,Famille5-198,Famille6-198,Famille7-198,Famille8-198,21,2025-03-21,3791.97,2303.77,CAT008
199,ART000199,1234560000199,Wilson Raquette de tennis,DIM1-199,Dimension 1 Article 199,DIM2-199,Dimension 2 Article 199,Nestlé Tunisia,Famille1-199,Famille2-199,Famille3-199,Famille4-199,Famille5-199,Famille6-199,Famille7-199,Famille8-199,73,2024-11-12,153.77,121.53,CAT006
200,ART000200,1234560000200,Bridgestone Pneu,DIM1-200,Dimension 1 Article 200,DIM2-200,Dimension 2 Article 200,Adidas MENA,Famille1-200,Famille2-200,Famille3-200,Famille4-200,Famille5-200,Famille6-200,Famille7-200,Famille8-200,67,2025-02-23,486.59,325.76,CAT007
